question,gold
Điều gì mà cảng Quảng Châu đã đánh mất khi nó thuộc về người Anh?,thương mại với các cảng khác như Hồng Kông (gần) và Thượng Hải
Người Anh đã chiếm đóng nơi nào của Trung Quốc trong chiến tranh thế giới thứ nhất?,Quảng Châu
Triệu Đà chọn kinh đô cho Nam Việt là nơi nào?,Phiên Ngung
Tại Phiên Ngung các nhà khảo cổ đã tìm thấy điều gì ngoại trừ các vật phẩm từ miền Trung Trung Quốc?,"những thân cây có nguồn gốc từ Đông Nam Á, Ấn Độ và thậm chí ở Châu Phi"
Nhằm mục đích trả thù và giành lấy Nam Việt thì vua Hán Vũ đã làm gì?,phát động một cuộc xâm lăng lớn trên sông và biển
Ai là người đã lãnh đạo quân đội đánh và thôn tính Nam Việt?,Lộ Bác Đức
Khi nghe lời của sứ thần nhà Hán thì Hoàng thái hậu đã có quyết định làm gì?,nộp Phiên Ngung cho nhà Hán
Vua Hán Vũ đã làm gì để trả thù Nam Việt?,"phát động một cuộc xâm lăng lớn trên sông và biển, giao cho Lộ Bác Đức chỉ huy và thôn tính thành công Nam Việt"
Lý do nào đã làm cho cái tên Phiên Ngung dần đi vào quên lãng?,người dân quen với việc gọi tên thành phố theo tên tỉnh trong một khoảng thời gian dài
Khoảng thời gian tồn tại của đế chế Nam Hán là khi nào?,từ năm 917 đến 971
Điều gì đã được Ibn Battuta miêu tả trong chuyến thăm Quảng Châu của ông vào thế kỷ 14?,quá trình mà Trung Quốc xây dựng các tàu lớn của họ trong các xưởng đóng tàu của cảng
Đại Hán là đã được thành lâp bởi ai?,viên thống đốc thời nhà Hậu Lương là Lưu Nghiễm
Quảng Châu có trụ sở tỉnh là Phiên Ngung kể từ khi nào?,Năm 226
"Trong suốt thập kỷ sau thập kỷ thứ 13, người nào hay ghé thăm Quảng Châu?",người Ma rốc Ibn Battuta
Minh Thái Tổ đã làm gì?,đảo ngược sự ủng hộ trước đó của ông đối với thương mại nước ngoài và áp đặt lệnh đầu tiên của một loạt lệnh cấm biển
Năm 1384 là năm mà các kế hoạch nào phải dừng lại?,"kế hoạch hàng hải thời nhà Nguyên của Quảng Châu, Tuyền Châu và Ninh Ba"
Các chính sách giới hạn thương mai đã gây ra điều gì?,"làm trầm trọng thêm các cuộc tấn công cướp biển ""Nhật Bản"" (các cuộc tấn công nanobu) trong khu vực"
Các chính sách giới hạn và cấm buôn bán của nhà Minh đã được vô hiệu hóa vào năm nào?,năm 1567
Giới hạn đã xảy ra với ai trong thương mai hợp pháp từ năm 1384?,các phái đoàn cống gửi cho hoặc bởi các đại diện chính thức của các chính phủ nước ngoài
Khi Đài Loan được kiểm soát bởi nhà Thanh vào năm 1683 thì Nhà Thanh đã trở nên như thế nào?,cởi mở hơn đối với thương mại nước ngoài
Mở màng cho sự có mặt của người châu Âu tại thành phố là sự kiện gì?,Công ty Đông Ấn của Đế quốc Anh thiết lập trạm giao dịch ở thành phố
Quảng Châu đã đón nhận chiến tàu độc lập đầu tiên đến từ Hoa Kỳ là khi nào?,năm 1784
Các công ty Đông Ấn của Pháp và Anh làm gì trong suốt giai đoạn 1699-1714?,gửi một chiếc tàu mỗi năm hai lần
Các thương nhân nước ngoài bị nhà vua Càn Long quy định điều gì?,phải dồn vào một quận riêng
Những cảng nào đã cùng với Quảng Châu phải cho phép thương nhân phương Tây tự do buôn bán theo Hiệp ước Nam Kinh năm 1842?,"Ninh Ba, Hạ Môn, Phúc Châu và Thượng Hải"
Lý do mà vị thế thương mại đặc quyền của Quảng Châu lại mất là gì?,"các cảng hiệp ước ngày càng mở rộng ra nhiều nước hơn nữa, thường là các khu vực ngoại vi"
Vào năm nào thì tuyến đường đến Vũ Xương được hoàn thành?,năm 1936
Khi công trình nào hoành thành thì đoạn đường sắt Bắc Kinh-Quảng Châu thống nhất mới được hoàn thành?,cầu sông Dương Tử ở Vũ Hán
Thời gian để thông điệp có thể vượt qua 1.200 dặm để từ Quảng Châu đến Bắc Kinh là trong bao lâu?,chưa đầy 24 tiếng đồng hồ
Hồ Hán Dân đã chạy đến nơi nào trốn khi thất bại trong Cuộc Cách mạng thứ hai?,Nhật Bản
Khi nắm chính quyền quân sự Quảng Châu thì Tôn Trung Sơn đã nhận được sự ủng hộ từ những ai?,các thành viên của quốc hội giải tán và các lãnh chúa miền tây phương
Lý do dẫn đến sự sụp đổ của chính quyền Quảng Châu là gì?,các lãnh chúa đã rút lại sự ủng hộ của họ
Sau khi bị lật đổ thì vào thời điểm nào Tôn Trung Sơn đã được hồi phục quyền lực?,tháng 10 năm 1920
Tôn Trung Sơn đã bị lật đổ vào ngày 16 tháng 6 năm 1920 vì điều gì?,Chen đứng về phía chính phủ Bắc Kinh của Zhili Clique
Sử dụng cách nào để Tôn và Quốc Dân Đảng có thể truy tố một cuộc cách mạng mới?,chinh phục các lãnh chúa ở phía bắc
Điều gì đã xảy ra vào những năm Canton?,"sự tiến triển của Quốc Dân Đảng vào một phong trào cách mạng với sự tập trung quân sự mạnh mẽ và cam kết về ý thức hệ, tạo ra âm điệu của ĐCSTQ của Trung Quốc vượt ra ngoài năm 1927"
Trước đây thì ai là người mà Sun phụ thuộc vào?,các lãnh chúa cơ hội
Quyết đinh có tầm quan trọng nào đã được đưa ra bởi Quốc Dân Đảng vào năm 1924?,liên minh với Đảng Cộng sản Trung Quốc và Liên Xô
Quốc Dân Đảng đã có những thay đổi nào nhờ sự hỗ trợ từ Liên Xô?,tổ chức lại theo đường lối của Lênin và áp dụng lập trường thân thiện và ủng hộ nông dân
Lực lượng vũ trang được xây dựng bởi Sun và chỉ huy quân đội ông Tưởng đã sử dụng nguồn lực từ nơi nào?,Liên Xô
Cuộc nổi dậy của thế lực nào đã bị đáng bại bởi quân đội non trẻ vào tháng tám?,Quân đội Thương binh Quảng Đông
Trong sự kiện nào thì đã có sự khẳng định của sự hợp tác của Quốc Dân đảng Cộng sản Trung Quốc?,Đại hội lần thứ nhất của Quốc Dân Đảng
Vào năm nào thì Tôn Trung Sơn đã qua đời?,năm 1925
Lời thề nào được thốt ra từ nhóm cánh hữu Western Hills?,trục xuất những người cộng sản khỏi Quốc Dân Đảng
Những điều gì đã xảy ra khi các cuộc thanh trừng của Canton được thực hiện?,bắt giữ những người cộng sản và đình chỉ các bộ máy của Quốc Dân Đảng và các nhóm lao động cánh tả
Zhang Fakui đã làm gì vào năm 1927?,chiếm Canton và thành lập phe Wang Jingwei trong thành phố
"Chiang đã làm gì để những điều đó được nhìn thấy thông qua ""Canton Coup"" ngày 20 tháng 3 năm 1926?","củng cố sự kiểm soát của mình đối với những người theo chủ nghĩa quốc gia và quân đội của họ chống lại Wang Jingwei, cánh tả của đảng, các đồng minh Cộng sản và các cố vấn Liên Xô của họ"
Cuộc chiến nào đã lật đổ Lý?,cuộc chiến giữa Chiang và Quảng Tây Clique
Trần Tế Đường đã làm cách nào để trao cho mình quyền lực vào năm 1931?,tổ chức một chính phủ quốc gia riêng biệt tại Quảng Châu
Những ai đã ly khai khi không chấp nhận chế độ độc tài của Giang?,"các nhà lãnh đạo Quốc Dân Đảng như Wang Jingwei, Sun Fo và những người khác từ các phe phái khác nhau"
Vào năm nào thì quyền lực của Chen đã bị lật đổ?,năm 1936
Quốc Dân Đảng đã tổ chức Quốc hội Quốc gia 4 là do điều gì?,Các cuộc đàm phán hòa bình giữa sự nổi dậy vũ trang
Quảng Châu trong Thế chiến thứ hai đã bị Nhật Bản chiếm đóng trong giai đoạn nào?,từ năm 1938 đến 1945
Quảng Châu được xem là gì khi cuộc Nội chiến Trung Quốc chỉ còn vài tháng là kết thúc?,thủ đô của Quốc dân đảng
Vào ngày nào thì quân Giải phóng Nhân dân đã vào được Quảng Châu?,ngày 14 tháng 10 năm 1949
Điều gì đã làm cho cách mạng văn hóa có ảnh hưởng lớn đến Quảng Châu?,"nhiều ngôi đền, nhà thờ và các công trình khác bị phá hủy trong thời kỳ hỗn loạn này"
Khi Chiến tranh Thế giới thứ hai xảy ra thì Quảng Châu bị nước nào chiếm đóng?,Nhật Bản
Loại gió nào ảnh hưởng đến Quảng Châu?,gió mùa Đông Á
Trong năm thì thời gian mà Quảng Châu trải qua mùa mưa là lúc nào?,từ tháng Tư đến tháng Chín
Nhiệt độ trung bình năm tại Quảng Châu là bao nhiêu °F?,"72,7 °F"
Đặc điểm khí hậu tại Quảng Châu vào mùa thu là gì?,"khí hậu rất dễ chịu, mát mẻ và nhiều gió"
Quảng Châu có tuyết rơi vào tháng 1 năm 2016 là sự kết thúc cho chuỗi thời gian bao lâu mà tuyết đã không ghé thăm Quảng Châu?,87 năm
Vào năm nào thì Hội chợ Quảng Châu đã bắt đầu đi vào hoạt động thường niên mỗi năm?,năm 1957
Những kỷ lục gì của Trung Quốc thuộc về Hội chợ Quảng Châu?,"hội chợ thương mại có lịch sử lâu nhất, có quy mô lớn nhất, lớn nhất ở Trung Quốc"
Trước phiên họp thứ 104 thì Hội chợ Quảng Châu được diễn ra ở đâu?,khu phức hợp cũ ở Liuhua
Những trạm trên Tuyến Metro nào phục vụ cho GICEC?,Tuyến Metro 8
Pazhou trở thành nơi tổ chức Hội chợ Quảng Châu kể từ khi nào?,phiên họp thứ 104
Theo ước tính thì vào năm 2014 dân số tại Quảng Châu là bao nhiêu?,13.080.500
Tại Quảng Châu thì ước tính cứ mỗi km2 thì sẽ có bao nhiêu người?,1.800 người
Bao nhiêu cây số vuông mặt đất được sử dụng xây dựng Khu kinh tế sông Châu Giang?,17.573 cây số vuông
Quảng Châu có bao nhiêu quận thuộc trong Khu kinh tế sông Châu Giang?,9 quận
28 triệu người tại Khu kinh tế sông Châu Giang là tính luôn cả khu vực nào?,vùng đặc quyền hành chính Hồng Kông liền kề
Đa số người di cư đến Quảng Đông là sử dụng tiếng gì?,tiếng Quan Thoại
Tại Quảng Châu kể từ tháng 5 năm 2014 thì những người nhập cư hợp pháp đã được làm gì?,nhận thẻ hukou cho phép họ kết hôn và được phép mang thai trong thành phố
Đa số người Quảng Châu là người gì?,người Hán
Ngôn ngữ nào là ngôn ngữ đầu tiên của những người Quảng Đông địa phương?,tiếng Quảng Châu
Theo hệ thống đăng ký hộ khẩu thì những người di cư sẽ bị hạn chế về điều gì?,"tiếp cận nhà ở, cơ sở giáo dục và các lợi ích công cộng khác"
Quảng Châu có các đội bóng nào đang thi đấu tại giải vô đich quốc gia Trung Quốc?,Quảng Châu R&F và Quảng Châu Hằng Đại Đào Bảo
Kể từ năm 2011 đến 2017 thì giải vô địch quốc gia luôn thuộc về đội bóng nào?,Quảng Châu Hằng Đại
Năm 2013 và 2015 là những năm mà Quảng Châu Hằng Đại tranh giành chức vô địch ở mùa giải nào?,AFC Champions League
Trong hai năm 2013 và 2015 thì hai đội đánh bại Quảng Châu Hằng Đại đều trở thành gì?,ĐKVĐ UEFA Champions League
Hai đội bóng nào đã đánh bại Quảng Châu Hằng Đại vào các năm 2013 và 2015 tại bán kết UEFA Champions League?,FC Bayern München và F.C Barcelona
Những thành phố nào đã có hệ thống đường sắt ngầm trước Quảng Châu?,"Bắc Kinh, Thiên Tân và Thượng Hải"
Vào năm nào thì tuyến đầu tiên của Metro Quảng Châu đã đi vào vận hành?,năm 1997
Hiện nay thì tổng độ dài hệ thống tàu điện ngầm Quảng Châu là bao nhiêu km?,"390,7 km"
Theo kế hoạch đến năm 2020 thì hệ thống tàu điện ngầm Quảng Châu sẽ đạt bao nhiêu km?,hơn 500 km
Ngày nào là ngày diễn ra sự kiện khai trương tuyến Haizhu Tram?,ngày 31 tháng 12 năm 2014
Những tuyến đường sắt cao tốc nào có điểm cuối là Quảng Châu?,"Bắc Kinh-Quảng Châu, Quảng Châu-Thâm Quyến, Quảng Châu-Mậu Danh và Quảng Châu-Hàng Châu-Sán Đầu"
Tốc độ tối đa của tuyến đường sắt cao tốc Nam Ninh-Quảng Châu là bao nhiêu km/h?,155 km/h
Thời gian di chuyển của tàu Quảng Đông đi từ ga đường sắt Quảng Châu phía Đông đến Hồng Kông là bao lâu?,ít hơn hai giờ
320 km/h là tốc độ tối đa đạt được bởi tuyến đường sắt nào?,tuyến đường sắt cao tốc Vũ Hán-Quảng Châu
"""Citizen lawmaking"" là thuật ngữ quốc tế ám chỉ điều gì?",việc làm luật của công dân
"Vào năm 44 TCN, nhân vật lịch sử nào đã qua đời?",Julius Caesar
"Trước cái chết của Julius Caesar, nền Cộng hòa La Mã cổ đại đã thiết lập những quyền hành nào liên quan đến công dân?","việc làm luật của công dân (citizen lawmaking)""— sự phát biểu và thông qua luật của công dân; cũng như quyền phủ quyết của công dân về luật do lập pháp đưa ra"
Nền Cộng hòa La Mã được xem như kết thúc khi nào?,vào thời điểm thông qua luật có tên Lex Titia vào ngày 27 tháng 11 năm 43 TCN
"Theo nhiều sử gia, trong Cộng hòa La Mã cổ đại, quyền phủ quyết của công dân về luật không còn hiệu lực từ khi nào?",ngày 27 tháng 11 năm 43 TCN
Các thành thị của Thụy Sĩ thiết lập lập pháp công dân thời kỷ nguyên hiện đại khi nào?,vào thế kỷ thứ 13
"Khi chính phủ Thụy Sĩ nhận ra không nên chỉ có quyền phủ quyết các luật của Nghị viện, họ đã làm gì?","thêm ""đạo luật trưng cầu dân ý"" vào hiến pháp"
Quốc hội Mỹ được định nghĩa là một nơi như thế nào?,nơi mà các phiếu bầu ở Hạ viện đại diện cho nhân dân và phiếu bầu ở Thượng viện đại diện cho tiểu bang
"Năm 1981, hiến pháp của nhà nước Thụy Sĩ có gì mới?","""Quyền đề xướng luật lệ và sửa đổi trong hiến pháp"""
Kinh nghiệm rút ra được từ những cuộc tranh luận chính trị gay gắt của Thụy Sĩ kể từ năm 1891 là gì?,nền tảng kinh nghiệm có giá trị trong quyền đề xướng luật lệ và sửa đổi trong hiến pháp
"Trong thế kỉ 19, điểm chung mới xuất hiện trong việc làm luật của Mỹ và Thụy Sĩ là?","việc đa số kép từ Quốc hội Mỹ, nơi mà các phiếu bầu ở Hạ viện đại diện cho nhân dân và phiếu bầu ở Thượng viện đại diện cho tiểu bang"
Phần lớn đa số đơn hoạt động ở những quy mô nào?,thành thị và tiểu bang (canton và bán canton)
Đa số kép được lập ra phục vụ cho điều gì?,bảo đảm cho tính hợp pháp của các luật do nhân dân lập ra
Luật do người Thụy Sĩ đề xuất mà không được phê chuẩn trong điều kiện như thế nào?,một nhóm đa số người dân tán thành nhưng đa số của các tiểu bang không tán thành
Tư liệu chính trị nào quy định về việc trưng cầu ý dân cũng như những đề xướng bổ sung những điều khoản chung?,Hiến pháp Thụy Sĩ
"Tại Thụy Sĩ, một luật do công dân đề xướng được thông qua ở cấp tiểu bang khi đạt đa số nào?",đa số đơn
Người ta coi Thụy Sĩ là một nền dân chủ trực tiếp điển hình ở những quy mô nào?,địa phương lẫn trung ương
Luật Thụy Sĩ trong 120 năm vừa qua có bao nhiêu lần trưng cầu dân ý về quyền đề xướng?,240 lần
"Trong số 240 lần quyền đề xướng được đưa ra để trưng cầu dân ý, có bao nhiêu được công dân Thụy Sĩ chấp thuận?",khoảng 10% số đề xướng
"""Việc giàu tính hợp pháp"" tiếp cận với việc làm luật của nhân dân dưới quan điểm của những người ủng hộ biểu hiện như thế nào?",đã và đang rất thành công
Thụy Sĩ là một trong số ít các quốc gia đạt được điều gì mà Mỹ không đạt được?,thành công kép cả về xã hội lẫn kinh tế
Đề xướng nào chiếm tỉ lệ nhỏ trong số khoảng 216 đề xuất không được chấp nhận tại Thụy Sĩ?,đề xướng được chính phủ đề ra
Dân chủ trực tiếp cấp liên bang đặc biệt không có ở quốc gia nào?,Mỹ
"Tại Mỹ, đa số các cuộc đề xướng luật lệ do bộ phận nào bổ phiếu?",do người dân bảo trợ và đa số các tiểu bang có ít nhất một hay cả hai trụ cột đầu của dân chủ trực tiếp
Những bộ phận chính trị nào quyết không tán thành chế độ chính trị dân chủ trực tiếp?,những người lập bản Hiến pháp Mỹ và một vài người ký vào bản Tuyên ngôn độc lập Hoa Kỳ
"Sau ý kiến bác bỏ nền dân chủ trực tiếp, bộ phận chính trị cấp cao đã đề xuất nền chính trị như thế nào?",nền dân chủ đại nghị với hình thức một nền cộng hòa lập hiến trên nền dân chủ trực tiếp
"""nền cộng hòa lập hiến trên dân chủ trực tiếp chính xác là để bảo vệ từng cá nhân khỏi các nhóm đa số áp đặt nguyện vọng của họ"" được quy định dựa vào đâu?",trong Federalist No. 10 (Chủ trương chế độ liên bang số 10)
Nguyên nhân nào khiến Mỹ không tồn tại dân chủ trực tiếp ở mức liên bang?,sự nguy hiểm trong việc nhóm đa số sẽ áp đặt nguyện vọng của họ lên nhóm thiểu số
Dân chủ trực tiếp và thể chế dân chủ được thiết lập dựa trên cơ sở nào?,dựa trên sự đồng lòng trong việc ra quyết định hơn chỉ là nguyên tắc đa số
"""Chủ trương dân chủ thường dân"" hay ""dân chủ nhất trí"" là những thuật ngữ của phong trào chính trị khôi phục dân chủ trực tiếp và thể chế dân chủ dùng để phân biệt với cái gì?",mô hình dân chủ trực tiếp giản đơn
Quốc gia trung ương tập quyền và chủ nghĩa tư bản được thay thế bởi phong trào nào để bảo vệ hình thức dân chủ trực tiếp?,Phong trào chủ nghĩa vô chính phủ
Vai trò cốt yếu của chính trị cộng đồng là gì?,tìm kiếm sự cam kết trực tiếp giữa các đại diện dân chủ và các cộng đồng với nhau
Cuộc thảo luận phê chuẩn Quyền đề xướng luật Quốc gia Dân chủ năm 2003 do nhân vật cấp cao nào chủ trì?,cựu Thượng Nghị sĩ Mỹ Mike Gravel
Dân chủ điện tử được định nghĩa là gì?,Internet và các công nghệ thông tin khác cũng có liên quan đến dân chủ trực tiếp
"Ngoài Internet và cộng nghệ thông tin, còn có khái niệm nào khác về dân chủ điện tử?","khái niệm quản trị nguồn mở áp dụng nguyên tắc của phong trào phần mềm miễn phí cho việc quản trị của con người, cho phép toàn bộ quần chúng nhân dân tham gia vào chính quyền một cách trực tiếp theo ước muốn của họ"
Hạn chế về việc nhân dân không được đại diện như nhau của dân chủ điện tử đã vi phạm điều gì?,khái niệm truyền thống của dân chủ
"Theo chế độ nhân tài của dân chủ điện tử, những người khác có thể được trao quyền dựa trên thứ bậc của những ai?",những người ban hành luật
Cấp lớn nhất của giới động vật được gọi là gì?,ngành
Định nghĩa nào chỉ ra một số ngành được gộp chung vào một nhóm?,siêu ngành
"Ngoài cách định nghĩa ngành dựa trên các đặc trưng tiến hoá, khái niệm ngành còn dựa trên cơ sở ngành nào khác?",sơ đồ cơ thể tổng quát
Nhên và cua được xếp vào ngành nào?,Arthropoda
Dựa vào đâu để chia giun đất và giun dẹp vào hai ngành khác nhau?,dựa trên cơ cấu tổ chức bên trong của chúng
Cả nhện và cua đều thuộc siêu ngành nào?,siêu ngành Ecdysozoa
Hãy nêu tên những ngành động vật phổ biến nhất?,"Mollusca, Porifera, Cnidaria, Platyhelminthes, Nematoda, Annelida, Arthropoda, Echinodermata và Chordata"
Có bao nhiêu ngành động vật?,35 ngành
Có bao nhiêu ngành chiếm đa số các loài động vật?,9 ngành
Ngành nào không tồn tại ở đại dương?,Onychophora
Khi nào ngành Cycliophora được tìm thấy?,năm 1993
Trong cách ngành động vậy thì loài người ở ngành nào?,Chordata
Hãy cho biết thời gian diễn ra của sự bùng nổ kỷ Cambri?,530 tới 520 triệu năm trước
Vai trò của các ngành sẽ như thế nào theo thời gian?,thay đổi
Loài động vật nào thống lĩnh trong kỷ Cambri?,chân đốt
"Hiện nay, loài động vật nào thống lĩnh?",động vật có xương sống của ngành dây sống
Loài động vật nào hiện tại có số lượng loài đông nhất?,Động vật chân đốt
Vấn đề gây tranh cãi hiện tại về các ngành có liên quan đến một sự kiện nào?,Sự bùng nổ kỷ Cambri
Hãy kể tên các ngành thực vật chính?,"Marchantiophyta (ngành Rêu tản), Anthocerophyta (Ngành Rêu sừng), Bryophyta (ngành Rêu thật sự), Pteridophyta hay Filicophyta (ngành Dương xỉ), Sphenophyta, Cycadophyta (ngành Tuế), Ginkgophyta (Bạch quả), Pinophyta (ngành Thông), Gnetophyta (ngành Dây gắm), Magnoliophyta (ngành Thực vật hạt kín/thực vật có hoa)"
Loài thực vật nào chiếm tỉ lệ cao nhất trong giới thực vật?,hạt kín
Thực vật có mạch chiếm bao nhiêu % thực vật hạt kín?,80%
Tên gọi khác của thực vật hạt kín?,thực vật có hoa
Theo trật tự tiến hoá trong ngành thực vật thì ngành nào có mức độ tiến hoá thấp nhất?,Marchantiophyta (ngành Rêu tản)
Ngành thực vật có sự tiến hóa chỉ sau ngành thực vật hạt kín là ngành nào?,Gnetophyta (ngành Dây gắm)
Thuật ngữ divisio được sử dụng như thế nào cho cấp dưới cận lớp và trên cohort trong động vật học?,một cách tùy chọn
Ai là người đưa ra hệ thống phân loại có thể công nhận nhóm cá xương như là Teleostei?,Carroll
"Theo Milner, động vật bốn chân được xếp vào các divisio nào?",Amphibia và Amniota
Theo động vậy học thì thuật ngữ divisio được áp dụng cho cấp nào?,cấp dưới cận lớp và trên cohort
Một trong những vùng đất được khai phá vào thời nhà Nguyễn là gì?,Prey Nokor
Thành phố Gia Định hình thành vào năm bao nhiêu?,Năm 1698
Sự kiện nào là cột mốc cho sự thành lập của thành phố Gia Định?,Nguyễn Hữu Cảnh cho lập phủ Gia Định
Việc Pháp xây dựng và phát triển nhanh chóng Sài Gòn nhằm thực hiện mục đích gi?,công cuộc khai thác thuộc địa
Thành phố Sài Gòn được đổi tên thành thành phố Hồ Chí Minh từ năm nào?,Ngày 2 tháng 7 năm 1976
"Trước khi Sài Gòn trở thành thủ đô của Quốc gia Việt Nam vào năm 1949, Sài Gòn là thủ đô chung của các thuộc địa của Pháp vào năm nào?",1887
Thành phố Hồ Chí Minh có vị trí địa lý như thế nào?,Nằm trong vùng chuyển tiếp giữa Đông Nam Bộ và Tây Nam Bộ
Thành phố Hồ Chí Minh đóng góp cho nền kinh tế Việt Nam như thế nào?,"Thành phố Hồ Chí Minh chiếm 21,3% tổng sản phẩm (GDP) và 29,38% tổng thu ngân sách của cả nước"
Thuận lời từ vị trí địa lý giúp thành phố Hồ Chí Minh như thế nào?,"trở thành một đầu mối giao thông quan trọng của Việt Nam và Đông Nam Á, bao gồm cả đường bộ, đường sắt, đường thủy và đường không"
Thành phố Hồ Chí Minh có những lĩnh vực gì phát triển ngoài giao thông và du lịch?,"giáo dục, truyền thông, thể thao, giải trí"
Giai đoạn nào được xem như là giai đoạn hình thành nên Sài Gòn?,1623 tới 1698
Nguyên nhân của việc lập đồn thu thuế tại nơi hoang sơ của chúa Nguyễn là gì?,"nằm trên đường giao thông của các thương nhân Việt Nam, Trung Quốc,... qua Campuchia và Xiêm"
Sự kiện nào có liên quan đến việc hình thành nên Sài Gòn sau này?,lập doanh trại và dinh thự của Phó vương Nặc Nộn và lập đồn dinh ở Tân Mỹ
Từ năm nào bắt đầu hình thành Sài Gòn?,1623
Ai là người hỗ trợ Nguyễn Ánh trong việc xây dựng Thành Bát Quái làm trụ sở?,hai sĩ quan công binh người Pháp là kỹ sư Theodore Lebrun và Victor Olivier de Puymanel (1768 - 1799)
Tình hình miền Nam sau khi Nguyễn Ánh lên ngôi như thế nào?,"Miền Nam được chia thành 5 trấn, gọi là ""Gia Định ngũ trấn"""
Vua Minh Mạng cho phá thành Bát Quái có thể vì lý do gì?,"Trong khoảng thời gian 1833 đến 1835, Lê Văn Khôi khởi binh chống lại nhà Nguyễn, Thành Bát Quái trở thành địa điểm căn cứ"
Sài Gòn trước khi bị Nguyễn Ánh tái chiếm thì chính quyền có tên là gì?,Gia Định thành
Hành động nào được Pháp thực hiện lập tức khi chiếm được Gia ĐỊnh năm 1859?,gấp rút quy hoạch lại Sài Gòn thành một đô thị lớn
Ai là người chịu trách nhiệm chính việc thiết kế bản quy hoạch?,"trung tá công binh Pháp là Paul Florent Lucien Coffyn (20/5/1810 – 5/8/1871), nguyên Lãnh sự Pháp ở Hoa Kỳ"
Nguyên nhân trực tiếp dẫn đến việc tách Chợ Lớn ra khỏi Sài Gòn là gì?,"diện tích dự kiến của thành phố quá rộng, khó bảo đảm về an ninh"
"Sau khi được điều chỉnh, Sài Gòn được quy hoạch lại như thế nào?","khu vực nằm giữa rạch Thị Nghè, sông Sài Gòn, rạch Bến Nghé và đường mới khu cầu Ông Lãnh hiện nay"
"Năm 1864, chuẩn đô đốc Pierre Rose cho quy hoạch khu vực nào của Sài Gòn?","khu vực nằm giữa rạch Thị Nghè, sông Sài Gòn, rạch Bến Nghé và đường mới khu cầu Ông Lãnh"
Bộ máy chính quyền quản lý Sài Gòn bao gồm bao nhiêu thành viên?,gồm 1 ủy viên và 12 hội viên
Thành phố Sài Gòn được thành lập vào thời gian nào?,Ngày 15 tháng 3 năm 1874
Tổ chức nào được Pháp lập ra vào năm 1879 để quản lý Sài Gòn?,Hội đồng thành phố Sài Gòn
Ai là người chủ trương đổi tên Sài Gòn thành Thành Phố Hồ Chí Minh?,bác sĩ Trần Hữu Nghiệp
Ý kiến của bác sĩ Trần Hữu Nghiệp được hưởng ứng như thế nào?,"57 người phòng Nam Bộ Trung ương (đứng đầu danh sách là Trần Hữu Nghiệp, Trần Công Tường, Nguyễn Tấn Gi Trọng,...) đã ra quyết nghị, gửi lên Quốc hội và Chính phủ Việt Nam Dân chủ Cộng hòa đề xuất này"
Nguyên nhân của việc không đưa ra quyết định đổi tên thành phố vào thời điểm năm 1946 là gì?,do nhiều việc cấp bách phải giải quyết
"Tại sao Pháp gọi Sài Gòn là ""hòn ngọc viễn đông""?","Chính quyền thuộc địa Pháp tập trung tất cả những gì sang trọng, giàu có nhất mà họ có được ở diện tích 3 km² này"
Vẻ hoang sợ của Sài Gòn được miêu tả như thế nào qua cái nhìn của tác giả Sơn Nam?,"khi Chợ Bến Thành hoàn thành năm 1914, “trước mặt còn là ao vũng sình lầy"
Chợ Bến Thành xuất hiện vào năm nào?,năm 1914
Kiến trúc sư He’brerd được mời sang Đông Dương nhằm mục đích gì?,chỉnh lý lại các dự án quy hoạch Sài Gòn
Những để xuất của He'bred đối với Sài Gòn là gì?,"đề ra hướng phát triển công nghiệp và xuất khẩu cho Sài Gòn, điều chỉnh hệ thống kỹ thuật hạ tầng, củng cố thêm phố thị Khánh Hội và Nhà Bè"
Những nguyên nhân dẫn đến thất bại trong kế hoạch của He'bred là gì?,"thiếu ngân sách, đụng chạm quyền lợi của giới độc quyền nhà đất, cũng như xung đột nội bộ"
"Những trở ngại do giới cầm quyền thực dân, tư bản gây ra đối với các mô hình lý thuyết và quy hoạch cho thấy điều gì?","giới cầm quyền thực dân, giới tư bản chỉ nhìn thấy quyền lợi trước mắt"
Kế hoạch quy hoạch Sài Gòn của người Pháp được đánh giá như thế nào?,"người Pháp nặng về việc phô trương quyền lực thực dân với một số trục đường hoành tráng, cửa nhà khang trang, nhưng lại chưa xây dựng được cơ sở hạ tầng đô thị, và nhất là đẩy người bản xứ vào các khu ở chật chội, lầy lội, thiếu vệ sinh"
Lối quy hoạch Sài Gòn của thời kì Pháp thuộc đã phản ánh thực tế mà nhân dân ta phải chịu là gì?,phân biệt đối xử giữa người Pháp và dân thuộc địa
"""Hòn ngọc Viễn Đông"" thực tế mang ý nghĩa như thế nào?","do quan chức thực dân Pháp đặt ra để chỉ nơi ăn chơi của họ, người Việt chẳng được thụ hưởng gì mà còn phải chịu sự bóc lột để người Pháp duy trì sự xa xỉ đó"
Thực dân Pháp khai thác lợi ích từ thuộc địa của mình như thế nào?,kiếm lợi nhuận chủ yếu thông qua việc bóc lột tài nguyên thuộc địa
"Sự khác biệt giữa các thuộc địa của Pháp so với của Anh, Nhật là gì?",các thuộc địa của thực dân Pháp ở Đông Dương chỉ có một trạng thái mong manh yếu ớt
